uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 33, 6138, 12124, 51,-1,0
 34, 6138, 12124, 51,-1,0
 34, 6138, 12124, 51,-1,0
 34, 6138, 12124, 51,-1,0
 34, 6138, 12124, 51,-1,0
 34, 6138, 12124, 51,-1,0
 34, 12123, 12124, 100,-1,0
 34, 12123, 12124, 100,-1,0
 34, 12123, 12124, 100,-1,0
 34, 12123, 12124, 100,-1,0
 34, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 35, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 36, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 37, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 38, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 39, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 40, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 41, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 42, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 43, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 44, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 45, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 46, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 47, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 48, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 49, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 50, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
